iter	Accuracy	Logloss
334	0.9975	0.1088491899
335	0.9983333333	0.108506508
336	0.9983333333	0.1083579668
337	0.9983333333	0.1081782265
338	0.9983333333	0.1078894944
339	0.9983333333	0.1076273484
340	0.9983333333	0.1071493241
341	0.9983333333	0.1069260737
342	0.9983333333	0.1064595265
343	0.9983333333	0.1059799066
344	0.9983333333	0.1056345689
345	0.9983333333	0.1053926136
346	0.9983333333	0.104996082
347	0.9983333333	0.1048196863
348	0.9983333333	0.1043968887
349	0.9983333333	0.1039260918
350	0.9983333333	0.1031179117
351	0.9983333333	0.1028371157
352	0.9983333333	0.1024548178
353	0.9983333333	0.1021615656
354	0.9983333333	0.1018337989
355	0.9983333333	0.1013315803
356	0.9983333333	0.1012947506
357	0.9983333333	0.1009826192
358	0.9983333333	0.1009244674
359	0.9983333333	0.1005170621
360	0.9983333333	0.1001467182
361	0.9991666667	0.09975030472
362	0.9991666667	0.09929617535
363	0.9991666667	0.09916544898
364	0.9991666667	0.09887567085
365	0.9991666667	0.09856784361
366	0.9991666667	0.09817894363
367	0.9991666667	0.09779418234
368	0.9991666667	0.09723779292
369	0.9991666667	0.09689192334
370	0.9991666667	0.09648808566
371	0.9991666667	0.09620939983
372	0.9991666667	0.09575700151
373	0.9991666667	0.095310285
374	0.9991666667	0.09530119041
375	0.9991666667	0.09473206721
376	0.9991666667	0.0945298817
377	0.9991666667	0.09413573951
378	0.9991666667	0.09412635486
379	1	0.09396969671
380	1	0.09336842261
381	1	0.09335122963
382	1	0.09290066408
383	1	0.0923418532
384	1	0.09202649785
385	1	0.09164652162
386	1	0.09151395678
387	1	0.09126087116
388	1	0.0911541267
389	1	0.09095806393
390	1	0.09065690478
391	1	0.09020634534
392	1	0.08930166944
393	1	0.08900153689
394	1	0.08853926343
395	1	0.0880372902
396	1	0.0878072454
397	1	0.08764769634
398	1	0.08711927774
399	1	0.08693985224
400	1	0.08674844395
401	1	0.08632637224
402	1	0.08627962766
403	1	0.08605725394
404	1	0.08582099236
405	1	0.08549893369
406	1	0.08520643297
407	1	0.08486462297
408	1	0.08471371989
409	1	0.08440443529
410	1	0.08402472792
411	1	0.08357089704
412	1	0.08331428465
413	1	0.0831468669
414	1	0.08266408532
415	1	0.08207918305
416	1	0.08191570026
417	1	0.08177573197
418	1	0.08141978503
419	1	0.08136855896
420	1	0.08112507797
421	1	0.08096612033
422	1	0.08057030941
423	1	0.08018155557
424	1	0.08001669869
425	1	0.07964432834
426	1	0.07937001181
427	1	0.07921347299
428	1	0.07887404185
429	1	0.0785897251
430	1	0.07815753629
431	1	0.07808268257
432	1	0.07783561342
433	1	0.07760721283
434	1	0.07748051972
435	1	0.07715861573
