iter	Passed	Remaining
400	27107	6692
401	27189	6628
402	27273	6564
403	27354	6500
404	27419	6431
405	27485	6363
406	27548	6294
407	27622	6228
408	27696	6162
409	27773	6096
410	27832	6027
411	27924	5964
412	27978	5893
413	28047	5826
414	28104	5756
415	28183	5690
416	28239	5620
417	28311	5553
418	28388	5487
419	28473	5423
420	28551	5357
421	28624	5290
422	28693	5223
423	28770	5157
424	28826	5087
425	28903	5020
426	28957	4950
427	29030	4883
428	29107	4817
429	29185	4751
430	29248	4682
431	29319	4615
432	29376	4545
433	29461	4480
434	29536	4413
435	29610	4346
436	29683	4279
437	29746	4210
438	29822	4143
439	29891	4076
440	29960	4008
441	30034	3941
442	30089	3871
443	30158	3803
444	30222	3735
445	30302	3668
446	30369	3600
447	30447	3534
448	30530	3467
449	30606	3400
450	30699	3335
451	30778	3268
452	30834	3199
453	30911	3132
454	30981	3064
455	31051	2996
456	31130	2929
457	31205	2861
458	31276	2793
459	31360	2726
460	31432	2659
461	31504	2591
462	31569	2522
463	31639	2454
464	31705	2386
465	31767	2317
466	31839	2249
467	31899	2181
468	31965	2112
469	32039	2045
470	32092	1976
471	32173	1908
472	32246	1840
473	32317	1772
474	32387	1704
475	32463	1636
476	32531	1568
477	32607	1500
478	32672	1432
479	32743	1364
480	32814	1296
481	32937	1230
482	33012	1161
483	33091	1093
484	33167	1025
485	33244	957
486	33314	889
487	33383	820
488	33436	752
489	33505	683
490	33586	615
491	33649	547
492	33726	478
493	33786	410
494	33856	341
495	33921	273
496	33983	205
497	34078	136
498	34162	68
499	34224	0
